"base","STATE","REGION","lat","long","population","less_than_high_school","high_school_grad","some_bachelors_or_associate","with_children_under_18","income_below_poverty","drove_alone","carpooled","public_transportation","walked","taxi_motorcycle_bike_other","worked_from_home","now_married","separated","widowed","divorced","female","black_or_african_american_alone","american_indian_and_alaskan_native_alone","asian_alone","native_hawaiian_and_other_pacific_islander_alone","some_other_race_alone","two_or_more_races","hispanic_or_latino","living_with_supplementary_security_income_cash_public_assistance_income_foodstamps","veteran","unemployment_rate","armed_forces","mu_days","smoke","obese","food_env_index","phys_inactive","exer_acc","excess_drink","alc_drive_deaths_rate","clap_rate","teen_birth","mental_rate","child_pov","social","violence","house_problem","long_drive_alone","land_acres","h_80ami","t_80ami","co2_per_acre_local","autos_per_hh_80ami","vmt_per_hh_80ami","pct_transit_commuters_80ami","transit_trips_80ami","emp_ovrll_ndx","gross_hh_density","frac_sfd","intersection_density","median_smoc","pct_renter_occupied_hu","pupil_teacher_ratio","pct_65_older","annual_drug_spending_hh_avg"
"Carlisle Barracks","PA","Northeast",40.2098624923602,-77.1735397549557,17190,0.0751181540172366,0.345732554906867,0.259049207673061,0.38536642747912,0.134315290724623,0.769460376916774,0.0860938780287955,0.0097740840454173,0.0819969565726326,0.0142221701978228,0.0384525342385579,0.46824631491941,0.0200096432015429,0.0814506130320981,0.109209257473481,0.489520446520105,0.0575236359494248,0.000227816379997722,0.0231803166647682,0,0.00689144549493109,0.0325207882446748,0.0331472832896685,0.275914402792533,0.134820643757063,0.0393304862928778,0.00830004132800661,3.7254271964,14.382576832,29.5,8.5,19.2,76.662871804,19.967397848,27.272727273,271.2,11.953127623,176.65569,10.5,13.436822577,85.955269933,12.458913758,24.6,349118.61,35,24,12.79,2,19062,1,4,7.1,0.27,62,59,1402,29,14.47,0.179673,464.92
"Defense Distrib Depot Susq","PA","Northeast",40.2099999996004,-76.8400000002997,7799,0.0618181818181818,0.300606060606061,0.273057851239669,0.429915333960489,0.0633507853403141,0.844209005538165,0.0781362870214303,0.00650132434384782,0.0168552853359018,0.0104743558873104,0.0438237418733446,0.549737373737374,0.0248888888888889,0.0573737373737374,0.120565656565657,0.497131565527792,0.0304054054054054,0.000956144824069352,0.00866904640489546,0,0.00790413054563998,0.0150433452320245,0.0407955124936257,0.139147615015524,0.126480133321638,0.0202828282828283,0.00404040404040404,3.7254271964,14.382576832,29.5,8.5,19.2,76.662871804,19.967397848,27.272727273,271.2,11.953127623,176.65569,10.5,13.436822577,85.955269933,12.458913758,24.6,349118.61,35,24,12.79,2,19062,1,4,7.1,0.27,62,59,1402,29,14.47,0.179673,464.92
"Defense Distribution Region West Sharpe Site","CA","West",37.8405336552041,-121.268989895867,3236,0.417859834212509,0.348530519969857,0.186887716654107,0.55818540433925,0.280684596577017,0.698003327787022,0.193011647254576,0.00332778702163062,0.0299500831946755,0.00665557404326123,0.0690515806988353,0.324019607843137,0.0299019607843137,0.0186274509803922,0.125980392156863,0.670951689819614,0.080033174372797,0.0159651669085631,0.034211071946921,0.00165871863985072,0.177275554634045,0.0653120464441219,0.601492846775866,0.258202567760342,0.0794965220271613,0.0590686274509804,0,4.0001332864,12.227716097,28,7.8,22.1,73.031025556,17.865701552,33.626373626,495.5,28.976823843,204.30443,19.1,4.8477770463,780.37898876,26.911132071,35,890479.79,41,31,24.64,2,19926,2,33,1.8,0.25,74,20,1464,43,24.49,0.120572,407.9126
"Defense Distribution Region West Tracy","CA","West",37.7158727106571,-121.392347544703,10165,0.208903449604934,0.288880323761804,0.315089612642128,0.425331369661267,0.0811229000884173,0.763279248505551,0.126387702818104,0.0319385140905209,0.0356959863364646,0.00751494449188728,0.0351836037574722,0.511272422698402,0.035038738047044,0.0544426607105465,0.0824317721784044,0.582788671023965,0.0687421167297328,0.00447196422428621,0.128310973512212,0.00131865611741773,0.0569315445476436,0.0893819516110538,0.268719183579865,0.206896551724138,0.0604154597368203,0.0586305576882809,0.000977175961471348,4.0001332864,12.227716097,28,7.8,22.1,73.031025556,17.865701552,33.626373626,495.5,28.976823843,204.30443,19.1,4.8477770463,780.37898876,26.911132071,35,890479.79,41,31,24.64,2,19926,2,33,1.8,0.25,74,20,1464,43,24.49,0.120572,407.9126
"Defense General Supply Center","VA","South",37.4187699347847,-77.4505875295908,31918,0.211274989180491,0.29400836340828,0.317877154834462,0.447422264700228,0.143263445787022,0.794251315691508,0.149812582446116,0.015717426600122,0.00587689115057304,0.0141198948725884,0.0202218892390931,0.412554992197292,0.0325151371484376,0.0593359454024486,0.122301673208598,0.485017752418442,0.417210261867352,0.0118437191168561,0.0250419546407771,0.000960170260625972,0.0518203545965298,0.0345807051931786,0.181235477655177,0.377505839481885,0.113761597786593,0.0684462668226668,0.00327767958463788,3.4407528927,12.932485859,28.1,8.4,21.7,78.06258617,17.168191643,40.170940171,390.4,14.918956603,133.32979,9.3,8.8177379523,127.58481537,12.860310421,37.8,270958.64,38,25,10.76,2,20737,0,0,6.7,0.43,80,55,1543,24,15.91,0.120998,414.9974
"Defense Supply Center Columbus","OH","Midwest",39.978626553,-82.894349787,28061,0.153565726087534,0.315065702117735,0.329448585036653,0.503957750415507,0.235719251966025,0.79523054999114,0.095987306088729,0.0612344232496839,0.021140816179579,0.00772929166080363,0.0186776128300645,0.327448151684163,0.0283751908110409,0.066970485748891,0.164555861038852,0.46099237799823,0.550314835447389,0.00309599255298718,0.0181960406486654,0,0.0448872399696265,0.0396389194011169,0.0996574773027462,0.575840540617329,0.0879174489180626,0.0767997572932352,0.000132397359263755,4.1814549272,19.268515798,29.3,6.9,23.1,95.157957528,19.715032762,34.772182254,746.6,30.074579662,225.4614,23.9,9.7385841265,429.31165411,17.276720351,24.1,340723.06,32,23,23.72,1,16863,4,62,7.3,1.41,55,83,1288,46,18.33,0.115551,371.7629
"Deseret Chemical Depot","UT","West",40.2968543077801,-112.342849474424,702,0.0759162303664921,0.413612565445026,0.369109947643979,0.42382271468144,0.0472049689440994,0.637152777777778,0.21875,0.00694444444444444,0.0225694444444444,0.0833333333333333,0.03125,0.665314401622718,0.0101419878296146,0.0334685598377282,0.0588235294117647,0.516176470588235,0,0,0,0,0.0257352941176471,0.00220588235294118,0.0735294117647059,0.139479905437352,0.0715909090909091,0.0141987829614604,0,3.9324772501,12.185682609,31.9,7.7,20.9,94.446734687,14.013604682,24.324324324,267.9,25.526483727,103.34243,9.4,3.4947261406,218.7835852,10.35326087,44.5,4442866.05,29,28,11.17,2,23241,1,5,2.6,0,79,2,1240,23,NA,0.090546,454.7276
"Detroit Arsenal","MI","Midwest",42.4971879905334,-83.0411785152762,13240,0.114054350809772,0.294194345319791,0.323085369201208,0.375646519875868,0.108443352778631,0.862433428922573,0.0961900860303154,0.00483408439164277,0.011224907824662,0.00704629250307251,0.0182712003277345,0.488510905663764,0.0126110762050085,0.0937528049546719,0.0940220806031774,0.49193728171212,0.0818161551608828,0.00133759381734413,0.116630749795645,0.00118897228208367,0.00442149067399866,0.0162740581110203,0.0189120903618934,0.288365188346632,0.0844582363589346,0.0498159949735212,0,4.1942246644,19.705915538,32.5,7.9,25.5,94.388081496,21.216258696,28.880866426,299.6,16.263305475,163.41489,15.9,5.5964108968,293.49575783,15.447968671,43.4,306633.15,35,26,22.33,2,18064,2,25,6.1,1.1,69,68,1271,27,19.35,0.162867,442.0964
"Dugway Proving Ground","UT","West",40.1588569667757,-113.280078168673,1213,0.318297676106531,0.310101693506863,0.231845180075296,0.60118137144397,0.184222061984757,0.563249015064492,0.149093884159657,0.0156957634286571,0.222219139571016,0.00212910857019965,0.0476130892059778,0.524834392009645,0.00959185542862379,0.0393284887409483,0.0871004378257888,0.550123487286818,0.0104049947753413,0.0524830090958828,0.00383510501142179,0.0263663469535248,0.23675929058189,0.0121456172734665,0.512770297210738,0.168264576083574,0.130068148492031,0.0469978455385304,0.0316675172404768,3.78762703459739,10.6734569805318,30.9956953688783,7.66981713725215,22.5908890912912,77.541949813206,12.5750632830857,12.5492028814895,156.808914734113,29.5850115911937,411.791139473972,13.2959433896168,3.03361541843487,183.609328042642,10.1634777987842,27.3479506761017,3737480.79894836,25.8602396132558,28.8624395712184,6.77329755482379,2,23719.7526938976,1,20.2886288797029,1.31375604287816,0,81.3115672948925,2,1145.35193722413,22.5508722763259,17.96,0.13710164343866,465.014539139634
"Fort A P Hill","VA","South",38.1178885734989,-77.2758618600368,19226,0.0904529152366698,0.320092148403351,0.283639947903399,0.467307599475023,0.0968984873430168,0.765632235349019,0.119034260707533,0.0278395036732902,0.0194229980716611,0.0185267429177827,0.0495442592807134,0.520885247223407,0.0237091459193662,0.0471962387306908,0.0965085627294476,0.500285258553561,0.200847559139828,0.00613191559002942,0.0263732174166539,0.00142662304016287,0.0460155574202635,0.0350729016769496,0.0965391254418763,0.236094165848743,0.147253335074641,0.0488376881940723,0.038804174586883,3.60710995744993,17.0795721074587,32.526,8.087,24.1564,39.1502158386527,15.946148896,26.4317460319993,401.370866666667,31.108247779416,24.1611666266667,17.478,13.6425344389213,152.767198362993,14.2531152803847,52.1698,289959.138706667,35.826,30.2026666666667,1.07464666666667,2,22423.068,0,1.27533333333333,3.98986666666667,0.03,80.4206666666667,14,1391.12266666667,20.9273333333333,18.9251733333333,0.169993422666667,381.661293533333
