"id_combine.y","standard_diploma_prop","adv_studies_diploma_prop","other_diploma_prop","certificate_of_program_completion_prop","ged_certificate_prop","isaep_prop","attending_two_year_college_prop","attending_four_year_college_prop","other_continuing_ed_plans_prop","employment_prop","military_prop","no_plans_prop","expulsion_prop","in_school_suspension_prop","lt_suspension_prop","expulsion_prop.1","st_suspension_prop","spcl_ed_placement_prop","offenses_prop","non_disadv_ontime_prop","disadv_grad_prop","non_disadv_dropout_prop","disadv_dropout_prop","F_ontime_prop","M_ontime_prop","F_dropout_prop","M_dropout_prop","percentAPCourseEnrollees","percentAPTestTakers","percentGovernorsSchoolEnrollees","percentDualCourseEnrollees","percentTeachersNotHighlyQualified","percentTeachersWProvisionalCredentials","percentCTECompleters","percentPassedAPTest","sat_test_takers","sat_critical_reading_mean","sat_math_mean","sat_writing_mean","sat_subj_test_takers","sat_subj_total_tests_taken","psat_soph_test_takers","psat_junior_test_takers","admitRate4YearInstitution","yieldRate4YearInstitution","percentTeachersBachelors","percentTeachersGraduateDegree","div_name","sch_name","long","lat","census_urban_rural","ontime_prop","dropout_prop","F_cohort_prop","M_cohort_prop","nondisadvantaged_cohort_prop","disadvantaged_cohort_prop"
730400,0.471499433637137,0.429179440313753,0.0846038390278931,0.00119760479041916,0.00131578947368421,0.0122038927571137,0.314526820057412,0.438629699886488,0.0907702122968684,0.0902578726830104,0.0520542489706828,0.0137611461055385,0.00446745278496788,0.0029895633405354,0.00750044549106882,0.00146198830409357,0.173544188014176,0,0.192953201275377,0.889747618363372,0.832551951376456,0.0619994878979468,0.0966541216896415,0.893825,0.82,0.05495,0.108075,0.0514347401925563,0.0384424946240639,0.0201352333259828,0.225454344911148,0.0566666666666667,0.105,0.158366388381975,0.352666666666667,0.292993630573248,469,464,453,0.0191082802547771,0.0509554140127389,0.0419161676646707,0.520547945205479,0.647943771309244,0.291882849548643,40,49,"Prince Edward County","Prince Edward County High",-78.3993937,37.2663902,"Urban Cluster",0.854995822746522,0.0830654295220811,0.462315991127243,0.537684008872757,0.400060496067756,0.599939503932244
740020,0.509183781833675,0.445965686680865,0.0264588817592586,0.00245541532886162,0.0126562477645327,0.00327998663280766,0.34293795712758,0.374447209228639,0.0297911468458056,0.191784511065207,0.054833829805939,0.00620534592682953,0.00219791079851081,0,0.0036253894830915,0.00222774838091817,0.0973096299507932,0,0.106114826426285,0.882754585575703,0.804599134793503,0.0711942184705089,0.116664437002239,0.8955,0.828725,0.06745,0.098625,0.0412121598368901,0.0405157810068066,0.011078477707914,0.149966902959438,0.346666666666667,0.085,0.137520021674832,0.687,0.237668161434978,483,460,451,0.00560538116591928,0.0145739910313901,0.123827392120075,0.231601731601732,0.644311136143872,0.393439668174962,43.3333333333333,51,"Prince George County","Prince George High",-77.2659358,37.2061188,"Rural",0.861667755111555,0.0831706769550093,0.496636773203403,0.503363226796597,0.727493235395974,0.272506764604026
750060,0.485384648122987,0.475706846991405,0.029156139508862,0,0.00219348444739647,0.00755888092934951,0.405478045922571,0.430138378900998,0.037635049116204,0.062687605961152,0.0368284082744634,0.0272325118246114,0.000694590683583852,0.0010682827613118,0.0043267665207356,0.00208269200088035,0.0386825790748835,0,0.0519731184174859,0.914490470270943,0.84454701832993,0.0556891094783137,0.116453408158457,0.9146,0.867675,0.0631,0.088775,0.277256644869852,0.000113921166552746,0.00117192159590549,0.0120519539635965,0.34,0.065,0.0977523401561199,0.468,0.29645697758496,518,511,494,0.0151843817787419,0.0375994215473608,0.815104166666667,0.772861356932153,0.639653998194226,0.372315732168788,33,63.6666666666667,"Prince William County","Woodbridge High",-77.3020313,38.6814935,"Urbanized Area",0.890921395566285,0.0760736749807719,0.498641521217121,0.501358478782879,0.665363927121446,0.334636072878554
750080,0.358140802789328,0.607171583883483,0.0270605488877462,0,0.00244148664946072,0.00518557778998244,0.324519898404865,0.552326603691081,0.0334451930452469,0.0267730876409287,0.0306355192237792,0.032299697994099,0.00143023231404566,0.000791359096830222,0.00292710519533704,0.00295343241155387,0.0289298900392033,0.000355239786856128,0.0431849963414082,0.948566077112139,0.874732967091071,0.0268096611621556,0.0777230717895343,0.957075,0.90895,0.026075,0.049675,0.369878210020837,0.364418088154679,0.0074752551605723,0.00303951367781155,0.0133333333333333,0.04,0.102127904649571,0.562,0.328101644245142,535,527,508,0.047085201793722,0.0994020926756353,0.820936639118457,0.791793313069909,0.639653998194226,0.372315732168788,27.3333333333333,67.6666666666667,"Prince William County","Osbourn Park High",-77.4493542,38.7633778,"Urbanized Area",0.932359435737913,0.0381524367126848,0.483701931037909,0.516298068962091,0.784871207835692,0.215128792164308
750140,0.551082849924178,0.397853747607277,0.0435496975960455,0,0.00404259094016988,0.00347111393232924,0.384116786857236,0.406037977898798,0.0292605315346637,0.0790921918655125,0.0599116684447654,0.0415808433990252,0.00179434581591687,0.00219936365823001,0.00279460175346811,0.00408661191805819,0.0682241743318796,0.000638569604086846,0.0825322688351077,0.925416425885057,0.857436084622351,0.0504061203650212,0.0919270196773942,0.918725,0.877125,0.054225,0.080875,0.0686342831302824,0,0.000520264684714389,0.003413833691246,0.02,0.08,0.113930943749576,0.170333333333333,0.228538283062645,467,464,441,0.0104408352668213,0.0290023201856148,0.828460038986355,0.848156182212581,0.639653998194226,0.372315732168788,38.3333333333333,58,"Prince William County","Potomac High",-77.3092352,38.5972688,"Urbanized Area",0.897507293726842,0.0675714744894436,0.483691679307828,0.516308320692172,0.589312420247165,0.410687579752835
750290,0.290368611073243,0.680275704224495,0.0245201111124403,0,0.0019312028031453,0.00290437078667596,0.248128778038348,0.633529156510046,0.0360843587563893,0.0457909200375929,0.030526230569417,0.00594055608820709,0.000789735958447883,0.000739469586410382,0.00155411351548322,0.00208103841833087,0.0194534069596757,0.000758863639434689,0.027270530923881,0.971301197857559,0.916736891414397,0.0188167987787163,0.0574903811211231,0.97185,0.95805,0.01855,0.02865,0.31339582988341,0.307368765154465,0.00651604259276565,0.0876680152461357,0.01,0.05,0.105301610557877,0.613666666666667,0.368421052631579,532,534,515,0.0323886639676113,0.0728744939271255,0.918256130790191,0.847113884555382,0.639653998194226,0.372315732168788,35.3333333333333,64.3333333333333,"Prince William County","Battlefield High ",-77.6298068,38.8453326,"Urbanized Area",0.96505057968908,0.0235858703493998,0.484023008940489,0.515976991059511,0.881666418791753,0.118333581208247
750300,0.58265496319632,0.335931026727511,0.0694863252635173,0,0.0032195224130708,0.00870816239958054,0.397551102819576,0.241497919811979,0.0356908143293531,0.120641813864102,0.0384781691028934,0.166140180072096,0.00148655703108973,0.00191537349764205,0.00406178054362707,0.00191537349764205,0.0657119212336408,0,0.0801864157200982,0.847114530828268,0.831883537809111,0.108956553685852,0.138054831583938,0.863375,0.817775,0.1066,0.14345,0.184287370241679,0.0596658711217184,0.00060241734112841,0.0568464961390783,0.346666666666667,0.065,0.0848863680625343,0.249333333333333,0.159358288770053,456,439,433,0.00962566844919786,0.0213903743315508,0.768976897689769,0.760180995475113,0.639653998194226,0.372315732168788,30.3333333333333,62.3333333333333,"Prince William County","Freedom High ",-77.2877119,38.6215541,"Urbanized Area",0.837832358135692,0.127101086813566,0.440887061591028,0.559112938408972,0.371466451680745,0.628533548319255
750530,0.454242017460629,0.501189551063009,0.0400464575801736,0,0,0.00452197389618857,0.367140497585805,0.430459146094092,0.0267447197198221,0.0519235179541244,0.0478711270539237,0.0758609915922328,0.00211924021970085,0.00211924021970085,0.00501386492499345,0.00412890917278106,0.0438342955738142,0.000884955752212389,0.0633135273017858,0.935602899129478,0.832098041663629,0.0342401588704888,0.119039790952832,0.949425,0.8966,0.025775,0.062375,0.0624848521710122,0.0274621212121212,0.00493738590171397,0.000315656565656566,0.0366666666666667,0.04,0.0827406788439085,0.622333333333333,0.264990328820116,510,505,487,0.0135396518375242,0.0270793036750484,0.885350318471338,0.831034482758621,0.639653998194226,0.372315732168788,29.6666666666667,70.3333333333333,"Prince William County","Brentsville District High",-77.568569,38.691208,"Rural",0.923447050486714,0.0439072572087145,0.505459646969551,0.494540353030448,0.881812618665217,0.118187381334783
750680,0.568532523674828,0.374700833651373,0.0480118468073787,0,0.00223742086443752,0.00651737500198216,0.417992822003753,0.329207142679697,0.0575476966414942,0.132000708508174,0.047187373138769,0.0160642570281124,0.00119856418516583,0.00117535131801564,0.00553870140706617,0.00237375218854766,0.0724573494758316,0,0.0858889667203608,0.879223737351369,0.832367654826903,0.0760535635618562,0.132291174319731,0.887625,0.832925,0.082025,0.116475,0.0586593598870964,0.0544077841306095,0.00205636621947655,0.00122369065100343,0.0166666666666667,0.085,0.0928184156419767,0.374333333333333,0.188848920863309,489,482,465,0.00809352517985612,0.0197841726618705,0.822535211267606,0.712585034013605,0.639653998194226,0.372315732168788,29,67,"Prince William County","Stonewall Jackson High",-77.5085508,38.7652206,"Urbanized Area",0.859340139594292,0.10008698346336,0.486503412339121,0.513496587660879,0.566602947041431,0.433397052958569
750710,0.467609729004412,0.487756118626576,0.0383442465620501,0,0.000369685767097967,0.00592022003986429,0.344513826310521,0.45299924598096,0.0250690631264242,0.0754110647558704,0.0535504897400986,0.0484563100861259,0.000406173842404549,0,0.00251036035981859,0.00253754030937888,0.0372630295824194,0.00043122035360069,0.0457196711806653,0.954939031943011,0.907895617718915,0.0302411974355707,0.0640280806386723,0.9654,0.915325,0.022225,0.059225,0.345356480927759,0,0.00164778783898182,0,0.0233333333333333,0.035,0.0998316818964392,0.392666666666667,0.318780889621087,490,486,466,0.0164744645799012,0.0403624382207578,0.86218487394958,0.848381601362862,0.639653998194226,0.372315732168788,30,68,"Prince William County","C.D. Hylton High",-77.3845405,38.6492862,"Urbanized Area",0.940732902282939,0.0403933233150036,0.507138101064205,0.492861898935795,0.69743237171791,0.30256762828209
